START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/01/24,01:20 PM,02:20 PM,Rockies at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network- MLBN (out-of-market only) ----- Local Radio: 670 The Score- WRTO 1200",04/01/24,04/01/24,04:20 PM,05:20 PM,FALSE,TRUE,04/01/24,12:20 PM,01:20 PM,FREE,BUSY
04/02/24,06:40 PM,07:40 PM,Rockies at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- MLB.com",04/02/24,04/02/24,09:40 PM,10:40 PM,FALSE,TRUE,04/02/24,05:40 PM,06:40 PM,FREE,BUSY
04/03/24,06:40 PM,07:40 PM,Rockies at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- WRTO 1200",04/03/24,04/03/24,09:40 PM,10:40 PM,FALSE,TRUE,04/03/24,05:40 PM,06:40 PM,FREE,BUSY
04/05/24,01:20 PM,02:20 PM,Dodgers at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- WRTO 1200",04/05/24,04/05/24,04:20 PM,05:20 PM,FALSE,TRUE,04/05/24,12:20 PM,01:20 PM,FREE,BUSY
04/06/24,03:05 PM,04:05 PM,Dodgers at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network- FS1 ----- Local Radio: 670 The Score- WRTO 1200",04/06/24,04/06/24,06:05 PM,07:05 PM,FALSE,TRUE,04/06/24,02:05 PM,03:05 PM,FREE,BUSY
04/07/24,01:20 PM,02:20 PM,Dodgers at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- WRTO 1200",04/07/24,04/07/24,04:20 PM,05:20 PM,FALSE,TRUE,04/07/24,12:20 PM,01:20 PM,FREE,BUSY
04/19/24,01:20 PM,02:20 PM,Marlins at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network- MLBN (out-of-market only) ----- Local Radio: 670 The Score- WRTO 1200",04/19/24,04/19/24,04:20 PM,05:20 PM,FALSE,TRUE,04/19/24,12:20 PM,01:20 PM,FREE,BUSY
04/20/24,01:20 PM,02:20 PM,Marlins at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- WRTO 1200",04/20/24,04/20/24,04:20 PM,05:20 PM,FALSE,TRUE,04/20/24,12:20 PM,01:20 PM,FREE,BUSY
04/20/24,06:40 PM,07:40 PM,Marlins at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- WRTO 1200",04/20/24,04/20/24,09:40 PM,10:40 PM,FALSE,TRUE,04/20/24,05:40 PM,06:40 PM,FREE,BUSY
04/21/24,01:20 PM,02:20 PM,Marlins at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- WRTO 1200",04/21/24,04/21/24,04:20 PM,05:20 PM,FALSE,TRUE,04/21/24,12:20 PM,01:20 PM,FREE,BUSY
04/23/24,06:40 PM,07:40 PM,Astros at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network- TBS (out-of-market only) ----- Local Radio: 670 The Score- WRTO 1200",04/23/24,04/23/24,09:40 PM,10:40 PM,FALSE,TRUE,04/23/24,05:40 PM,06:40 PM,FREE,BUSY
04/24/24,06:40 PM,07:40 PM,Astros at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- WRTO 1200",04/24/24,04/24/24,09:40 PM,10:40 PM,FALSE,TRUE,04/24/24,05:40 PM,06:40 PM,FREE,BUSY
04/25/24,01:20 PM,02:20 PM,Astros at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- WRTO 1200",04/25/24,04/25/24,04:20 PM,05:20 PM,FALSE,TRUE,04/25/24,12:20 PM,01:20 PM,FREE,BUSY
05/03/24,01:20 PM,02:20 PM,Brewers at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network- MLBN (out-of-market only) ----- Local Radio: 670 The Score- WRTO 1200",05/03/24,05/03/24,04:20 PM,05:20 PM,FALSE,TRUE,05/03/24,12:20 PM,01:20 PM,FREE,BUSY
05/04/24,01:20 PM,02:20 PM,Brewers at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- WRTO 1200",05/04/24,05/04/24,04:20 PM,05:20 PM,FALSE,TRUE,05/04/24,12:20 PM,01:20 PM,FREE,BUSY
05/05/24,01:20 PM,02:20 PM,Brewers at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- WRTO 1200",05/05/24,05/05/24,04:20 PM,05:20 PM,FALSE,TRUE,05/05/24,12:20 PM,01:20 PM,FREE,BUSY
05/06/24,06:40 PM,07:40 PM,Padres at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- WRTO 1200",05/06/24,05/06/24,09:40 PM,10:40 PM,FALSE,TRUE,05/06/24,05:40 PM,06:40 PM,FREE,BUSY
05/07/24,06:40 PM,07:40 PM,Padres at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- WRTO 1200",05/07/24,05/07/24,09:40 PM,10:40 PM,FALSE,TRUE,05/07/24,05:40 PM,06:40 PM,FREE,BUSY
05/08/24,01:20 PM,02:20 PM,Padres at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- WRTO 1200",05/08/24,05/08/24,04:20 PM,05:20 PM,FALSE,TRUE,05/08/24,12:20 PM,01:20 PM,FREE,BUSY
05/16/24,06:40 PM,07:40 PM,Pirates at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- WRTO 1200",05/16/24,05/16/24,09:40 PM,10:40 PM,FALSE,TRUE,05/16/24,05:40 PM,06:40 PM,FREE,BUSY
05/17/24,01:20 PM,02:20 PM,Pirates at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network- MLBN (out-of-market only) ----- Local Radio: 670 The Score- WRTO 1200",05/17/24,05/17/24,04:20 PM,05:20 PM,FALSE,TRUE,05/17/24,12:20 PM,01:20 PM,FREE,BUSY
05/18/24,01:20 PM,02:20 PM,Pirates at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- WRTO 1200",05/18/24,05/18/24,04:20 PM,05:20 PM,FALSE,TRUE,05/18/24,12:20 PM,01:20 PM,FREE,BUSY
05/19/24,01:20 PM,02:20 PM,Pirates at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- WRTO 1200",05/19/24,05/19/24,04:20 PM,05:20 PM,FALSE,TRUE,05/19/24,12:20 PM,01:20 PM,FREE,BUSY
